frame,H_Water_IF->O_SiO2_Surface,H_Water_IF->O_SiO2_Structural,H_Water_IF->O_Hydroxyl_CSH,H_Water_IF->O_NBO_CSH,H_Water_IF->O_Bridging_CSH,H_Water_IF->O_Water_CSH,H_Water_IF->O_Water_IF,H_Water_IF->O_Water_IF_CaCoord,H_Hydroxyl_CSH->O_SiO2_Surface,H_Hydroxyl_CSH->O_SiO2_Structural,H_Hydroxyl_CSH->O_Water_IF,H_Hydroxyl_CSH->O_Water_IF_CaCoord,H_Water_CSH->O_SiO2_Surface,H_Water_CSH->O_SiO2_Structural,H_Water_CSH->O_Water_IF,H_Water_CSH->O_Water_IF_CaCoord,H_SiO2_Hydroxyl->O_Hydroxyl_CSH,H_SiO2_Hydroxyl->O_NBO_CSH,H_SiO2_Hydroxyl->O_Water_CSH,H_SiO2_Hydroxyl->O_Bridging_CSH,H_SiO2_Hydroxyl->O_Water_IF,H_SiO2_Hydroxyl->O_Water_IF_CaCoord,H_Water_IF->O_SiO2_Surface_per_nm2,H_Water_IF->O_SiO2_Structural_per_nm2,H_Water_IF->O_Hydroxyl_CSH_per_nm2,H_Water_IF->O_NBO_CSH_per_nm2,H_Water_IF->O_Bridging_CSH_per_nm2,H_Water_IF->O_Water_CSH_per_nm2,H_Water_IF->O_Water_IF_per_nm2,H_Water_IF->O_Water_IF_CaCoord_per_nm2,H_Hydroxyl_CSH->O_SiO2_Surface_per_nm2,H_Hydroxyl_CSH->O_SiO2_Structural_per_nm2,H_Hydroxyl_CSH->O_Water_IF_per_nm2,H_Hydroxyl_CSH->O_Water_IF_CaCoord_per_nm2,H_Water_CSH->O_SiO2_Surface_per_nm2,H_Water_CSH->O_SiO2_Structural_per_nm2,H_Water_CSH->O_Water_IF_per_nm2,H_Water_CSH->O_Water_IF_CaCoord_per_nm2,H_SiO2_Hydroxyl->O_Hydroxyl_CSH_per_nm2,H_SiO2_Hydroxyl->O_NBO_CSH_per_nm2,H_SiO2_Hydroxyl->O_Water_CSH_per_nm2,H_SiO2_Hydroxyl->O_Bridging_CSH_per_nm2,H_SiO2_Hydroxyl->O_Water_IF_per_nm2,H_SiO2_Hydroxyl->O_Water_IF_CaCoord_per_nm2,H_Water_IF->O_SiO2_Surface_per_nm3,H_Water_IF->O_SiO2_Structural_per_nm3,H_Water_IF->O_Hydroxyl_CSH_per_nm3,H_Water_IF->O_NBO_CSH_per_nm3,H_Water_IF->O_Bridging_CSH_per_nm3,H_Water_IF->O_Water_CSH_per_nm3,H_Water_IF->O_Water_IF_per_nm3,H_Water_IF->O_Water_IF_CaCoord_per_nm3,H_Hydroxyl_CSH->O_SiO2_Surface_per_nm3,H_Hydroxyl_CSH->O_SiO2_Structural_per_nm3,H_Hydroxyl_CSH->O_Water_IF_per_nm3,H_Hydroxyl_CSH->O_Water_IF_CaCoord_per_nm3,H_Water_CSH->O_SiO2_Surface_per_nm3,H_Water_CSH->O_SiO2_Structural_per_nm3,H_Water_CSH->O_Water_IF_per_nm3,H_Water_CSH->O_Water_IF_CaCoord_per_nm3,H_SiO2_Hydroxyl->O_Hydroxyl_CSH_per_nm3,H_SiO2_Hydroxyl->O_NBO_CSH_per_nm3,H_SiO2_Hydroxyl->O_Water_CSH_per_nm3,H_SiO2_Hydroxyl->O_Bridging_CSH_per_nm3,H_SiO2_Hydroxyl->O_Water_IF_per_nm3,H_SiO2_Hydroxyl->O_Water_IF_CaCoord_per_nm3,H_Water_IF->O_SiO2_Surface_per_donor,H_Water_IF->O_SiO2_Structural_per_donor,H_Water_IF->O_Hydroxyl_CSH_per_donor,H_Water_IF->O_NBO_CSH_per_donor,H_Water_IF->O_Bridging_CSH_per_donor,H_Water_IF->O_Water_CSH_per_donor,H_Water_IF->O_Water_IF_per_donor,H_Water_IF->O_Water_IF_CaCoord_per_donor,H_Hydroxyl_CSH->O_SiO2_Surface_per_donor,H_Hydroxyl_CSH->O_SiO2_Structural_per_donor,H_Hydroxyl_CSH->O_Water_IF_per_donor,H_Hydroxyl_CSH->O_Water_IF_CaCoord_per_donor,H_Water_CSH->O_SiO2_Surface_per_donor,H_Water_CSH->O_SiO2_Structural_per_donor,H_Water_CSH->O_Water_IF_per_donor,H_Water_CSH->O_Water_IF_CaCoord_per_donor,H_SiO2_Hydroxyl->O_Hydroxyl_CSH_per_donor,H_SiO2_Hydroxyl->O_NBO_CSH_per_donor,H_SiO2_Hydroxyl->O_Water_CSH_per_donor,H_SiO2_Hydroxyl->O_Bridging_CSH_per_donor,H_SiO2_Hydroxyl->O_Water_IF_per_donor,H_SiO2_Hydroxyl->O_Water_IF_CaCoord_per_donor
25,121,0,25,15,9,20,214,12,0,0,25,3,9,0,37,7,0,0,0,0,2,0,6.233503631,0,1.287913973,0.772748384,0.4636490304,1.030331179,11.02454361,0.6181987072,0,0,1.287913973,0.1545496768,0.4636490304,0,1.90611268,0.3606159125,0,0,0,0,0.1030331179,0,2.72207895,0,0.5624130061,0.3374478037,0.2024686822,0.4499304049,4.814255332,0.2699582429,0,0,0.5624130061,0.06748956073,0.2024686822,0,0.832371249,0.1574756417,0,0,0,0,0.04499304049,0,0.2037037037,0,0.04208754209,0.02525252525,0.01515151515,0.03367003367,0.3602693603,0.0202020202,0,0,0.08680555556,0.01041666667,0.05172413793,0,0.2126436782,0.04022988506,0,0,0,0,0.01111111111,0
26,122,0,30,14,8,21,196,13,0,0,25,3,7,0,48,5,0,0,0,0,1,0,6.28502019,0,1.545496768,0.721231825,0.4121324715,1.081847738,10.09724555,0.6697152661,0,0,1.287913973,0.1545496768,0.3606159125,0,2.472794829,0.2575827947,0,0,0,0,0.05151655893,0,2.735179624,0,0.6725851533,0.3138730716,0.1793560409,0.4708096073,4.394223002,0.2914535664,0,0,0.5604876278,0.06725851533,0.1569365358,0,1.076136245,0.1120975256,0,0,0,0,0.02241950511,0,0.2057335582,0,0.05059021922,0.02360876897,0.01349072513,0.03541315346,0.3305227656,0.02192242833,0,0,0.08741258741,0.01048951049,0.0395480226,0,0.2711864407,0.02824858757,0,0,0,0,0.005555555556,0
27,118,0,26,17,6,27,195,12,0,0,26,3,11,0,37,5,0,0,0,0,1,0,6.078953954,0,1.339430532,0.8757815018,0.3090993536,1.390947091,10.04572899,0.6181987072,0,0,1.339430532,0.1545496768,0.5666821483,0,1.90611268,0.2575827947,0,0,0,0,0.05151655893,0,2.646550274,0,0.583138196,0.3812826666,0.1345703529,0.6055665882,4.37353647,0.2691407058,0,0,0.583138196,0.06728517646,0.2467123137,0,0.8298505097,0.1121419608,0,0,0,0,0.02242839215,0,0.1993243243,0,0.04391891892,0.02871621622,0.01013513514,0.04560810811,0.3293918919,0.02027027027,0,0,0.08996539792,0.01038062284,0.0632183908,0,0.2126436782,0.02873563218,0,0,0,0,0.005555555556,0
28,123,1,25,16,9,28,191,17,0,0,28,1,8,0,44,3,0,0,0,0,1,0,6.336536749,0.05151655893,1.287913973,0.8242649429,0.4636490304,1.44246365,9.839662756,0.8757815018,0,0,1.44246365,0.05151655893,0.4121324715,0,2.266728593,0.1545496768,0,0,0,0,0.05151655893,0,2.767212164,0.02249765987,0.5624414968,0.359962558,0.2024789389,0.6299344765,4.297053036,0.3824602179,0,0,0.6299344765,0.02249765987,0.179981279,0,0.9898970345,0.06749297962,0,0,0,0,0.02249765987,0,0.2070707071,0.001683501684,0.04208754209,0.02693602694,0.01515151515,0.04713804714,0.3215488215,0.02861952862,0,0,0.09556313993,0.003412969283,0.04597701149,0,0.2528735632,0.01724137931,0,0,0,0,0.005555555556,0
29,104,0,28,22,7,25,205,13,0,0,30,5,12,0,40,5,0,0,0,0,1,0,5.357722129,0,1.44246365,1.133364297,0.3606159125,1.287913973,10.56089458,0.6697152661,0,0,1.545496768,0.2575827947,0.6181987072,0,2.060662357,0.2575827947,0,0,0,0,0.05151655893,0,2.344750528,0,0.6312789882,0.4960049193,0.157819747,0.5636419537,4.621864021,0.2930938159,0,0,0.6763703445,0.1127283907,0.2705481378,0,0.901827126,0.1127283907,0,0,0,0,0.02254567815,0,0.1744966443,0,0.04697986577,0.03691275168,0.01174496644,0.04194630872,0.3439597315,0.02181208054,0,0,0.1048951049,0.01748251748,0.06818181818,0,0.2272727273,0.02840909091,0,0,0,0,0.005555555556,0
30,115,0,21,19,9,28,213,8,0,0,25,11,8,0,39,4,0,0,0,0,2,0,5.924404277,0,1.081847738,0.9788146197,0.4636490304,1.44246365,10.97302705,0.4121324715,0,0,1.287913973,0.5666821483,0.4121324715,0,2.009145798,0.2060662357,0,0,0,0,0.1030331179,0,2.576349377,0,0.4704637993,0.4256577232,0.2016273426,0.6272850658,4.771847108,0.1792243045,0,0,0.5600759516,0.2464334187,0.1792243045,0,0.8737184845,0.08961215225,0,0,0,0,0.04480607613,0,0.1936026936,0,0.03535353535,0.03198653199,0.01515151515,0.04713804714,0.3585858586,0.01346801347,0,0,0.08710801394,0.03832752613,0.04519774011,0,0.2203389831,0.02259887006,0,0,0,0,0.01111111111,0
31,114,0,28,17,9,20,204,11,0,0,29,2,12,0,41,2,0,0,0,0,1,0,5.872887718,0,1.44246365,0.8757815018,0.4636490304,1.030331179,10.50937802,0.5666821483,0,0,1.493980209,0.1030331179,0.6181987072,0,2.112178916,0.1030331179,0,0,0,0,0.05151655893,0,2.555536649,0,0.6276756683,0.3810887986,0.2017528934,0.448339763,4.573065583,0.2465868697,0,0,0.6500926564,0.0448339763,0.2690038578,0,0.9190965142,0.0448339763,0,0,0,0,0.02241698815,0,0.1919191919,0,0.04713804714,0.02861952862,0.01515151515,0.03367003367,0.3434343434,0.01851851852,0,0,0.101754386,0.00701754386,0.06779661017,0,0.2316384181,0.01129943503,0,0,0,0,0.005555555556,0
32,116,1,26,17,7,27,198,14,0,0,30,2,13,0,42,6,0,0,0,0,0,0,5.975920836,0.05151655893,1.339430532,0.8757815018,0.3606159125,1.390947091,10.20027867,0.721231825,0,0,1.545496768,0.1030331179,0.6697152661,0,2.163695475,0.3090993536,0,0,0,0,0,0,2.615552209,0.02254786387,0.5862444607,0.3833136859,0.1578350471,0.6087923246,4.464477047,0.3156700942,0,0,0.6764359162,0.04509572775,0.2931222304,0,0.9470102827,0.1352871832,0,0,0,0,0,0,0.1943048576,0.001675041876,0.04355108878,0.02847571189,0.01172529313,0.04522613065,0.3316582915,0.02345058626,0,0,0.1056338028,0.007042253521,0.07471264368,0,0.2413793103,0.03448275862,0,0,0,0,0,0
33,109,0,23,16,6,29,199,15,0,0,27,8,13,0,38,2,0,0,0,0,1,0,5.615304924,0,1.184880855,0.8242649429,0.3090993536,1.493980209,10.25179523,0.772748384,0,0,1.390947091,0.4121324715,0.6697152661,0,1.957629239,0.1030331179,0,0,0,0,0.05151655893,0,2.444443589,0,0.5158000233,0.3588174075,0.1345565278,0.6503565512,4.462791506,0.3363913196,0,0,0.6055043752,0.1794087038,0.2915391436,0,0.8521913429,0.04485217594,0,0,0,0,0.02242608797,0,0.182885906,0,0.03859060403,0.02684563758,0.01006711409,0.04865771812,0.3338926174,0.02516778523,0,0,0.09215017065,0.02730375427,0.07514450867,0,0.2196531792,0.01156069364,0,0,0,0,0.005555555556,0
34,122,0,25,12,5,24,202,17,0,0,30,7,9,0,40,3,0,0,0,0,2,0,6.28502019,0,1.287913973,0.6181987072,0.2575827947,1.236397414,10.4063449,0.8757815018,0,0,1.545496768,0.3606159125,0.4636490304,0,2.060662357,0.1545496768,0,0,0,0,0.1030331179,0,2.74277229,0,0.5620435021,0.269780881,0.1124087004,0.539561762,4.541311497,0.3821895814,0,0,0.6744522025,0.1573721806,0.2023356607,0,0.8992696033,0.06744522025,0,0,0,0,0.04496348016,0,0.2060810811,0,0.04222972973,0.02027027027,0.008445945946,0.04054054054,0.3412162162,0.02871621622,0,0,0.1041666667,0.02430555556,0.05142857143,0,0.2285714286,0.01714285714,0,0,0,0,0.01111111111,0
35,123,0,29,13,11,26,197,6,0,0,28,1,9,0,42,8,0,0,0,0,2,0,6.336536749,0,1.493980209,0.6697152661,0.5666821483,1.339430532,10.14876211,0.3090993536,0,0,1.44246365,0.05151655893,0.4636490304,0,2.163695475,0.4121324715,0,0,0,0,0.1030331179,0,2.769566437,0,0.6529872087,0.2927184039,0.2476848033,0.5854368078,4.435809659,0.1351008018,0,0,0.6304704084,0.0225168003,0.2026512027,0,0.9457056126,0.1801344024,0,0,0,0,0.0450336006,0,0.2077702703,0,0.04898648649,0.02195945946,0.01858108108,0.04391891892,0.3327702703,0.01013513514,0,0,0.09621993127,0.003436426117,0.0523255814,0,0.2441860465,0.04651162791,0,0,0,0,0.01111111111,0
36,114,0,33,15,6,24,208,17,0,0,24,3,14,0,45,4,0,0,0,0,3,0,5.872887718,0,1.700046445,0.772748384,0.3090993536,1.236397414,10.71544426,0.8757815018,0,0,1.236397414,0.1545496768,0.721231825,0,2.318245152,0.2060662357,0,0,0,0,0.1545496768,0,2.568941943,0,0.7436410887,0.3380186767,0.1352074707,0.5408298827,4.687192317,0.3830878336,0,0,0.5408298827,0.06760373534,0.3154840982,0,1.01405603,0.09013831378,0,0,0,0,0.06760373534,0,0.1919191919,0,0.05555555556,0.02525252525,0.0101010101,0.0404040404,0.3501683502,0.02861952862,0,0,0.08333333333,0.01041666667,0.08092485549,0,0.2601156069,0.02312138728,0,0,0,0,0.01666666667,0
37,122,1,21,14,9,24,205,15,0,0,25,3,9,0,39,9,0,0,0,0,1,0,6.28502019,0.05151655893,1.081847738,0.721231825,0.4636490304,1.236397414,10.56089458,0.772748384,0,0,1.287913973,0.1545496768,0.4636490304,0,2.009145798,0.4636490304,0,0,0,0,0.05151655893,0,2.744784027,0.02249822973,0.4724628244,0.3149752163,0.2024840676,0.5399575136,4.612137095,0.337473446,0,0,0.5624557433,0.0674946892,0.2024840676,0,0.8774309596,0.2024840676,0,0,0,0,0.02249822973,0,0.2057335582,0.001686340641,0.03541315346,0.02360876897,0.01517706577,0.04047217538,0.3456998314,0.02529510961,0,0,0.08474576271,0.01016949153,0.05142857143,0,0.2228571429,0.05142857143,0,0,0,0,0.005555555556,0
38,128,1,20,15,7,17,209,6,0,0,27,3,10,0,32,6,0,0,0,0,2,0,6.594119543,0.05151655893,1.030331179,0.772748384,0.3606159125,0.8757815018,10.76696082,0.3090993536,0,0,1.390947091,0.1545496768,0.5151655893,0,1.648529886,0.3090993536,0,0,0,0,0.1030331179,0,2.870649854,0.02242695198,0.4485390397,0.3364042798,0.1569886639,0.3812581837,4.687232965,0.1345617119,0,0,0.6055277036,0.06728085595,0.2242695198,0,0.7176624635,0.1345617119,0,0,0,0,0.04485390397,0,0.2162162162,0.001689189189,0.03378378378,0.02533783784,0.01182432432,0.02871621622,0.3530405405,0.01013513514,0,0,0.09310344828,0.01034482759,0.05681818182,0,0.1818181818,0.03409090909,0,0,0,0,0.01111111111,0
39,112,0,33,14,11,21,185,15,0,0,29,4,14,0,43,3,0,0,0,0,0,0,5.7698546,0,1.700046445,0.721231825,0.5666821483,1.081847738,9.530563402,0.772748384,0,0,1.493980209,0.2060662357,0.721231825,0,2.215212034,0.1545496768,0,0,0,0,0,0,2.506877076,0,0.7386334242,0.3133596345,0.2462111414,0.4700394518,4.140823742,0.3357424655,0,0,0.6491021,0.08953132414,0.3133596345,0,0.9624617345,0.06714849311,0,0,0,0,0,0,0.1879194631,0,0.05536912752,0.02348993289,0.01845637584,0.03523489933,0.3104026846,0.02516778523,0,0,0.09931506849,0.01369863014,0.08092485549,0,0.2485549133,0.01734104046,0,0,0,0,0,0
40,112,0,27,13,10,23,192,9,0,0,28,7,13,0,37,10,0,0,0,0,1,0,5.7698546,0,1.390947091,0.6697152661,0.5151655893,1.184880855,9.891179315,0.4636490304,0,0,1.44246365,0.3606159125,0.6697152661,0,1.90611268,0.5151655893,0,0,0,0,0.05151655893,0,2.505584337,0,0.6040247956,0.2908267534,0.2237128872,0.5145396407,4.295287435,0.2013415985,0,0,0.6263960843,0.1565990211,0.2908267534,0,0.8277376828,0.2237128872,0,0,0,0,0.02237128872,0,0.1891891892,0,0.04560810811,0.02195945946,0.01689189189,0.03885135135,0.3243243243,0.0152027027,0,0,0.09722222222,0.02430555556,0.07386363636,0,0.2102272727,0.05681818182,0,0,0,0,0.005555555556,0
41,110,0,23,14,9,23,201,10,0,0,19,3,9,0,37,6,0,0,0,0,1,0,5.666821483,0,1.184880855,0.721231825,0.4636490304,1.184880855,10.35482835,0.5151655893,0,0,0.9788146197,0.1545496768,0.4636490304,0,1.90611268,0.3090993536,0,0,0,0,0.05151655893,0,2.457806854,0,0.5139050696,0.3128117815,0.2010932881,0.5139050696,4.491083434,0.2234369868,0,0,0.4245302749,0.06703109603,0.2010932881,0,0.826716851,0.1340621921,0,0,0,0,0.02234369868,0,0.1858108108,0,0.03885135135,0.02364864865,0.0152027027,0.03885135135,0.339527027,0.01689189189,0,0,0.06397306397,0.0101010101,0.05084745763,0,0.209039548,0.03389830508,0,0,0,0,0.005555555556,0
42,121,0,19,14,10,26,209,12,0,0,26,2,14,0,36,4,0,0,0,0,0,0,6.233503631,0,0.9788146197,0.721231825,0.5151655893,1.339430532,10.76696082,0.6181987072,0,0,1.339430532,0.1030331179,0.721231825,0,1.854596122,0.2060662357,0,0,0,0,0,0,2.718919512,0,0.4269377747,0.3145857287,0.2247040919,0.584230639,4.696315521,0.2696449103,0,0,0.584230639,0.04494081839,0.3145857287,0,0.8089347309,0.08988163677,0,0,0,0,0,0,0.2043918919,0,0.03209459459,0.02364864865,0.01689189189,0.04391891892,0.3530405405,0.02027027027,0,0,0.08996539792,0.006920415225,0.0790960452,0,0.2033898305,0.02259887006,0,0,0,0,0,0
43,107,0,33,17,7,26,193,14,0,0,28,2,10,0,44,7,0,0,0,0,0,0,5.512271806,0,1.700046445,0.8757815018,0.3606159125,1.339430532,9.942695874,0.721231825,0,0,1.44246365,0.1030331179,0.5151655893,0,2.266728593,0.3606159125,0,0,0,0,0,0,2.39686397,0,0.7392197291,0.3808101635,0.156804185,0.5824155442,4.323315386,0.3136083699,0,0,0.6272167399,0.0448011957,0.2240059785,0,0.9856263055,0.156804185,0,0,0,0,0,0,0.1795302013,0,0.05536912752,0.02852348993,0.01174496644,0.04362416107,0.3238255034,0.02348993289,0,0,0.0979020979,0.006993006993,0.05813953488,0,0.2558139535,0.04069767442,0,0,0,0,0,0
44,121,1,32,13,11,23,211,12,0,0,29,4,9,0,30,6,0,0,0,0,0,0,6.233503631,0.05151655893,1.648529886,0.6697152661,0.5666821483,1.184880855,10.86999393,0.6181987072,0,0,1.493980209,0.2060662357,0.4636490304,0,1.545496768,0.3090993536,0,0,0,0,0,0,2.709008161,0.0223884972,0.7164319104,0.2910504636,0.2462734692,0.5149354356,4.723972909,0.2686619664,0,0,0.6492664188,0.08955398879,0.2014964748,0,0.671654916,0.1343309832,0,0,0,0,0,0,0.2037037037,0.001683501684,0.05387205387,0.02188552189,0.01851851852,0.03872053872,0.3552188552,0.0202020202,0,0,0.1003460208,0.01384083045,0.05172413793,0,0.1724137931,0.03448275862,0,0,0,0,0,0
45,107,1,28,14,6,26,205,14,0,0,27,5,9,0,38,9,0,0,0,0,0,0,5.512271806,0.05151655893,1.44246365,0.721231825,0.3090993536,1.339430532,10.56089458,0.721231825,0,0,1.390947091,0.2575827947,0.4636490304,0,1.957629239,0.4636490304,0,0,0,0,0,0,2.398423613,0.02241517395,0.6276248706,0.3138124353,0.1344910437,0.5827945227,4.59511066,0.3138124353,0,0,0.6052096967,0.1120758698,0.2017365656,0,0.8517766101,0.2017365656,0,0,0,0,0,0,0.1798319328,0.001680672269,0.04705882353,0.02352941176,0.01008403361,0.04369747899,0.3445378151,0.02352941176,0,0,0.09507042254,0.0176056338,0.05172413793,0,0.2183908046,0.05172413793,0,0,0,0,0,0
46,122,0,31,15,4,27,212,14,0,0,27,3,8,0,38,9,0,0,0,0,2,0,6.28502019,0,1.597013327,0.772748384,0.2060662357,1.390947091,10.92151049,0.721231825,0,0,1.390947091,0.1545496768,0.4121324715,0,1.957629239,0.4636490304,0,0,0,0,0.1030331179,0,2.729764277,0,0.6936286277,0.3356267553,0.08950046809,0.6041281596,4.743524809,0.3132516383,0,0,0.6041281596,0.06712535107,0.1790009362,0,0.8502544468,0.2013760532,0,0,0,0,0.04475023404,0,0.2050420168,0,0.05210084034,0.02521008403,0.006722689076,0.04537815126,0.356302521,0.02352941176,0,0,0.09310344828,0.01034482759,0.04597701149,0,0.2183908046,0.05172413793,0,0,0,0,0.01111111111,0
47,117,0,22,15,6,29,186,15,0,0,28,5,10,0,34,10,0,0,0,0,1,0,6.027437395,0,1.133364297,0.772748384,0.3090993536,1.493980209,9.582079961,0.772748384,0,0,1.44246365,0.2575827947,0.5151655893,0,1.751563004,0.5151655893,0,0,0,0,0.05151655893,0,2.623521094,0,0.4933116586,0.3363488581,0.1345395433,0.6502744591,4.170725841,0.3363488581,0,0,0.6278512019,0.112116286,0.2242325721,0,0.7623907451,0.2242325721,0,0,0,0,0.02242325721,0,0.1976351351,0,0.03716216216,0.02533783784,0.01013513514,0.04898648649,0.3141891892,0.02533783784,0,0,0.09655172414,0.01724137931,0.05681818182,0,0.1931818182,0.05681818182,0,0,0,0,0.005555555556,0
48,130,0,29,19,7,31,190,8,0,0,23,3,12,0,36,6,0,0,0,0,2,0,6.697152661,0,1.493980209,0.9788146197,0.3606159125,1.597013327,9.788146197,0.4121324715,0,0,1.184880855,0.1545496768,0.6181987072,0,1.854596122,0.3090993536,0,0,0,0,0.1030331179,0,2.917357363,0,0.650795104,0.4263829992,0.1570884734,0.695677525,4.263829992,0.1795296839,0,0,0.5161478411,0.06732363145,0.2692945258,0,0.8078835774,0.1346472629,0,0,0,0,0.04488242097,0,0.2177554439,0,0.04857621441,0.03182579564,0.01172529313,0.05192629816,0.3182579564,0.01340033501,0,0,0.08185053381,0.01067615658,0.06976744186,0,0.2093023256,0.03488372093,0,0,0,0,0.01111111111,0
49,109,0,30,17,6,24,195,13,0,0,26,3,12,0,42,12,0,0,0,0,2,0,5.615304924,0,1.545496768,0.8757815018,0.3090993536,1.236397414,10.04572899,0.6697152661,0,0,1.339430532,0.1545496768,0.6181987072,0,2.163695475,0.6181987072,0,0,0,0,0.1030331179,0,2.450226311,0,0.6743742141,0.382145388,0.1348748428,0.5394993713,4.383432392,0.2922288261,0,0,0.5844576522,0.06743742141,0.2697496856,0,0.9441238997,0.2697496856,0,0,0,0,0.04495828094,0,0.1825795645,0,0.05025125628,0.02847571189,0.01005025126,0.04020100503,0.3266331658,0.02177554439,0,0,0.08965517241,0.01034482759,0.06976744186,0,0.2441860465,0.06976744186,0,0,0,0,0.01111111111,0
50,112,0,27,18,6,24,204,10,0,0,22,3,13,0,47,5,0,0,0,0,2,0,5.7698546,0,1.390947091,0.9272980608,0.3090993536,1.236397414,10.50937802,0.5151655893,0,0,1.133364297,0.1545496768,0.6697152661,0,2.42127827,0.2575827947,0,0,0,0,0.1030331179,0,2.501617031,0,0.6030683913,0.4020455942,0.1340151981,0.5360607923,4.556516734,0.2233586635,0,0,0.4913890596,0.06700759904,0.2903662625,0,1.049785718,0.1116793317,0,0,0,0,0.04467173269,0,0.1879194631,0,0.04530201342,0.03020134228,0.01006711409,0.04026845638,0.3422818792,0.01677852349,0,0,0.07482993197,0.01020408163,0.07514450867,0,0.2716763006,0.0289017341,0,0,0,0,0.01111111111,0
51,119,0,25,16,6,27,199,8,0,0,25,2,10,0,39,8,0,0,0,0,2,0,6.130470513,0,1.287913973,0.8242649429,0.3090993536,1.390947091,10.25179523,0.4121324715,0,0,1.287913973,0.1030331179,0.5151655893,0,2.009145798,0.4121324715,0,0,0,0,0.1030331179,0,2.669730675,0,0.5608677889,0.3589553849,0.1346082693,0.605737212,4.4645076,0.1794776925,0,0,0.5608677889,0.04486942311,0.2243471156,0,0.8749537507,0.1794776925,0,0,0,0,0.04486942311,0,0.2010135135,0,0.04222972973,0.02702702703,0.01013513514,0.04560810811,0.3361486486,0.01351351351,0,0,0.08561643836,0.006849315068,0.05780346821,0,0.225433526,0.04624277457,0,0,0,0,0.01111111111,0
52,109,0,28,19,7,14,209,15,0,0,23,3,9,0,34,8,0,0,0,0,2,0,5.615304924,0,1.44246365,0.9788146197,0.3606159125,0.721231825,10.76696082,0.772748384,0,0,1.184880855,0.1545496768,0.4636490304,0,1.751563004,0.4121324715,0,0,0,0,0.1030331179,0,2.448224359,0,0.6289016703,0.4267547048,0.1572254176,0.3144508351,4.694301753,0.3369116091,0,0,0.5165978006,0.06738232181,0.2021469654,0,0.7636663139,0.1796861915,0,0,0,0,0.04492154788,0,0.1835016835,0,0.04713804714,0.03198653199,0.01178451178,0.02356902357,0.3518518519,0.02525252525,0,0,0.07876712329,0.0102739726,0.05172413793,0,0.1954022989,0.04597701149,0,0,0,0,0.01111111111,0
53,112,0,29,12,6,22,203,6,0,0,26,7,10,0,35,6,0,0,0,0,2,0,5.7698546,0,1.493980209,0.6181987072,0.3090993536,1.133364297,10.45786146,0.3090993536,0,0,1.339430532,0.3606159125,0.5151655893,0,1.803079563,0.3090993536,0,0,0,0,0.1030331179,0,2.504064694,0,0.6483738941,0.2682926458,0.1341463229,0.4918698507,4.538617258,0.1341463229,0,0,0.5813007326,0.1565040434,0.2235772049,0,0.782520217,0.1341463229,0,0,0,0,0.04471544097,0,0.1879194631,0,0.04865771812,0.02013422819,0.01006711409,0.03691275168,0.3406040268,0.01006711409,0,0,0.08904109589,0.02397260274,0.05714285714,0,0.2,0.03428571429,0,0,0,0,0.01111111111,0
54,112,0,29,19,7,21,193,14,0,0,24,6,9,0,38,12,0,0,0,0,2,0,5.7698546,0,1.493980209,0.9788146197,0.3606159125,1.081847738,9.942695874,0.721231825,0,0,1.236397414,0.3090993536,0.4636490304,0,1.957629239,0.6181987072,0,0,0,0,0.1030331179,0,2.505673017,0,0.6487903348,0.4250695297,0.1566045636,0.4698136907,4.317811539,0.3132091272,0,0,0.5369299323,0.1342324831,0.2013487246,0,0.8501390594,0.2684649661,0,0,0,0,0.04474416102,0,0.1872909699,0,0.04849498328,0.03177257525,0.01170568562,0.03511705686,0.3227424749,0.02341137124,0,0,0.0819112628,0.0204778157,0.05202312139,0,0.2196531792,0.06936416185,0,0,0,0,0.01111111111,0
55,113,0,29,16,4,24,194,19,0,0,29,4,7,0,39,6,0,0,0,0,3,0,5.821371159,0,1.493980209,0.8242649429,0.2060662357,1.236397414,9.994212433,0.9788146197,0,0,1.493980209,0.2060662357,0.3606159125,0,2.009145798,0.3090993536,0,0,0,0,0.1545496768,0,2.530239414,0,0.6493534779,0.3582639878,0.08956599695,0.5373959817,4.343950852,0.4254384855,0,0,0.6493534779,0.08956599695,0.1567404947,0,0.8732684703,0.1343489954,0,0,0,0,0.06717449771,0,0.189279732,0,0.04857621441,0.02680067002,0.006700167504,0.04020100503,0.324958124,0.03182579564,0,0,0.09965635739,0.01374570447,0.04069767442,0,0.226744186,0.03488372093,0,0,0,0,0.01666666667,0
56,108,1,31,19,7,21,210,15,0,0,27,1,7,0,39,8,0,0,0,0,4,0,5.563788365,0.05151655893,1.597013327,0.9788146197,0.3606159125,1.081847738,10.81847738,0.772748384,0,0,1.390947091,0.05151655893,0.3606159125,0,2.009145798,0.4121324715,0,0,0,0,0.2060662357,0,2.427789545,0.02247953283,0.6968655176,0.4271111237,0.1573567298,0.4720701893,4.720701893,0.3371929924,0,0,0.6069473863,0.02247953283,0.1573567298,0,0.8767017802,0.1798362626,0,0,0,0,0.0899181313,0,0.1806020067,0.001672240803,0.05183946488,0.03177257525,0.01170568562,0.03511705686,0.3511705686,0.02508361204,0,0,0.09473684211,0.00350877193,0.04046242775,0,0.225433526,0.04624277457,0,0,0,0,0.02222222222,0
